Year_of_Release,Platform,Genre,Global_Sales
-01-0108-01-01,PC,Shooter,0.49
-01-0105-01-01,PS2,Role-Playing,0.49
1995-01-01,SNES,Simulation,0.49
-01-0108-01-01,DS,Sports,0.49
-01-0111-01-01,3DS,Action,0.49
-01-0115-01-01,3DS,Role-Playing,0.49
-01-0108-01-01,X360,Adventure,0.48
-01-0108-01-01,PSP,Sports,0.48
-01-0115-01-01,3DS,Puzzle,0.48
-01-0107-01-01,PS2,Action,0.48
-01-0105-01-01,GBA,Action,0.48
-01-0104-01-01,GBA,Racing,0.48
1999-01-01,PS,Role-Playing,0.48
-01-0108-01-01,PC,Action,0.48
-01-0104-01-01,XB,Sports,0.48
1983-01-01,2600,Shooter,0.48
1991-01-01,SNES,Adventure,0.48
-01-0115-01-01,XOne,Action,0.48
-01-0109-01-01,PSP,Misc,0.48
-01-0108-01-01,Wii,Adventure,0.48
-01-0103-01-01,PS2,Misc,0.48
-01-0106-01-01,PS2,Action,0.48
-01-0115-01-01,WiiU,Action,0.48
1999-01-01,PS,Fighting,0.48
-01-0108-01-01,X360,Misc,0.48
-01-0111-01-01,X360,Racing,0.48
-01-0107-01-01,X360,Misc,0.48
-01-0111-01-01,PS3,Racing,0.48
-01-0108-01-01,X360,Shooter,0.48
1998-01-01,PS,Fighting,0.48
-01-0106-01-01,X360,Sports,0.48
-01-0116-01-01,XOne,Shooter,0.48
-01-0114-01-01,3DS,Sports,0.48
-01-0103-01-01,PS2,Simulation,0.48
1999-01-01,N64,Simulation,0.48
1998-01-01,N64,Sports,0.48
-01-0108-01-01,PS2,Sports,0.48
-01-0107-01-01,PS2,Simulation,0.48
-01-0107-01-01,DS,Action,0.48
-01-0115-01-01,PS3,Fighting,0.48
-01-0108-01-01,DS,Misc,0.48
-01-0112-01-01,X360,Action,0.48
-01-0109-01-01,Wii,Shooter,0.48
1999-01-01,PS,Racing,0.48
-01-0109-01-01,PS3,Action,0.48
-01-0113-01-01,X360,Action,0.48
-01-0109-01-01,PS3,Role-Playing,0.48
-01-01-01-01-01-01,PS2,Strategy,0.48
-01-0109-01-01,Wii,Sports,0.48
-01-01-01-01-01-01,DS,Action,0.48
1999-01-01,PS,Sports,0.48
-01-0113-01-01,X360,Sports,0.48
-01-0107-01-01,DS,Puzzle,0.48
-01-0115-01-01,XOne,Sports,0.48
-01-0101-01-01,GBA,Racing,0.48
-01-0105-01-01,XB,Sports,0.48
-01-0111-01-01,Wii,Misc,0.48
-01-0106-01-01,X360,Sports,0.48
-01-0109-01-01,PS2,Action,0.48
1981-01-01,2600,Racing,0.48
-01-0108-01-01,DS,Adventure,0.48
-01-0102-01-01,PS2,Racing,0.48
-01-0106-01-01,DS,Role-Playing,0.48
nan,PS3,Platform,0.48
-01-01-01-01-01-01,PS2,Puzzle,0.47
1989-01-01,2600,Action,0.47
1996-01-01,PS,Shooter,0.47
1998-01-01,N64,Sports,0.47
nan,2600,Fighting,0.47
-01-0102-01-01,PS2,Fighting,0.47
-01-0108-01-01,DS,Action,0.47
-01-0106-01-01,PS2,Action,0.47
-01-0107-01-01,PS3,Action,0.47
-01-0112-01-01,X360,Shooter,0.47
-01-01-01-01-01-01,DS,Adventure,0.47
-01-0107-01-01,Wii,Platform,0.47
1995-01-01,SNES,Puzzle,0.47
-01-0115-01-01,XOne,Misc,0.47
-01-01-01-01-01-01,PS,Action,0.47
-01-01-01-01-01-01,X360,Shooter,0.47
1995-01-01,PS,Action,0.47
-01-0112-01-01,X360,Fighting,0.47
-01-0108-01-01,PS3,Shooter,0.47
-01-0101-01-01,PS2,Action,0.47
-01-0114-01-01,PC,Action,0.47
-01-0108-01-01,Wii,Racing,0.47
-01-0109-01-01,DS,Racing,0.47
-01-0111-01-01,Wii,Role-Playing,0.47
-01-0108-01-01,X360,Shooter,0.47
-01-0112-01-01,WiiU,Action,0.47
-01-01-01-01-01-01,PS2,Fighting,0.47
-01-0102-01-01,GBA,Platform,0.47
-01-0106-01-01,PS2,Role-Playing,0.47
-01-0108-01-01,Wii,Misc,0.47
-01-0102-01-01,PS2,Racing,0.47
-01-0109-01-01,Wii,Racing,0.47
-01-01-01-01-01-01,DS,Action,0.47
-01-0109-01-01,PS3,Shooter,0.47
-01-0107-01-01,Wii,Simulation,0.47
-01-0105-01-01,PS2,Racing,0.47
1999-01-01,PS,Misc,0.47
1997-01-01,N64,Shooter,0.47
1998-01-01,N64,Platform,0.47
1997-01-01,N64,Racing,0.47
1998-01-01,N64,Role-Playing,0.47
-01-0108-01-01,X360,Platform,0.47
-01-0108-01-01,X360,Simulation,0.47
-01-0112-01-01,PS3,Action,0.47
1987-01-01,2600,Action,0.47
-01-0106-01-01,PS2,Sports,0.47
-01-01-01-01-01-01,X360,Role-Playing,0.47
-01-0106-01-01,XB,Racing,0.47
-01-0107-01-01,X360,Role-Playing,0.47
-01-0107-01-01,PSP,Racing,0.47
1999-01-01,PS,Misc,0.47
-01-0109-01-01,PC,Strategy,0.47
-01-0106-01-01,DS,Action,0.47
-01-0108-01-01,Wii,Racing,0.47
1995-01-01,SNES,Misc,0.47
-01-01-01-01-01-01,Wii,Action,0.47
-01-0105-01-01,PS2,Sports,0.47
-01-0109-01-01,PS2,Racing,0.47
-01-0103-01-01,PS2,Racing,0.47
-01-0109-01-01,Wii,Shooter,0.47
-01-0106-01-01,GBA,Adventure,0.47
-01-0109-01-01,Wii,Action,0.47
-01-0109-01-01,Wii,Sports,0.47
-01-0111-01-01,PC,Sports,0.47
-01-0107-01-01,DS,Action,0.47
-01-0105-01-01,PS2,Misc,0.47
-01-0112-01-01,3DS,Role-Playing,0.47
1996-01-01,PS,Sports,0.47
-01-0109-01-01,DS,Role-Playing,0.47
-01-0111-01-01,X360,Action,0.47
-01-0114-01-01,XOne,Sports,0.47
-01-0105-01-01,GBA,Action,0.47
-01-0107-01-01,DS,Platform,0.47
-01-0105-01-01,X360,Fighting,0.47
-01-0104-01-01,PS2,Fighting,0.47
-01-0105-01-01,GC,Misc,0.47
-01-0104-01-01,GC,Action,0.47
nan,Wii,Sports,0.47
-01-0112-01-01,3DS,Action,0.46
-01-0102-01-01,PS2,Sports,0.46
-01-0107-01-01,PS2,Adventure,0.46
-01-0115-01-01,PS4,Action,0.46
-01-0101-01-01,GBA,Shooter,0.46
-01-01-01-01-01-01,PSP,Sports,0.46
-01-0104-01-01,GBA,Puzzle,0.46
-01-0111-01-01,PS3,Role-Playing,0.46
-01-0114-01-01,PC,Simulation,0.46
-01-0105-01-01,XB,Shooter,0.46
-01-0108-01-01,Wii,Simulation,0.46
-01-0107-01-01,DS,Sports,0.46
-01-0108-01-01,Wii,Simulation,0.46
-01-0102-01-01,GBA,Misc,0.46
nan,2600,Action,0.46
-01-0107-01-01,Wii,Action,0.46
-01-01-01-01-01-01,PC,Simulation,0.46
1999-01-01,PS,Sports,0.46
-01-0105-01-01,GBA,Platform,0.46
-01-0102-01-01,PS2,Action,0.46
-01-0107-01-01,PSP,Shooter,0.46
1992-01-01,SNES,Sports,0.46
-01-0101-01-01,PS2,Strategy,0.46
1993-01-01,SNES,Platform,0.46
-01-0102-01-01,GBA,Platform,0.46
-01-0104-01-01,GBA,Platform,0.46
-01-0107-01-01,PS2,Misc,0.46
-01-0105-01-01,PS2,Shooter,0.46
-01-0114-01-01,X360,Action,0.46
-01-0105-01-01,PS2,Fighting,0.46
-01-0101-01-01,GBA,Platform,0.46
-01-0111-01-01,PS3,Racing,0.46
1999-01-01,PS,Racing,0.46
1996-01-01,PS,Sports,0.46
-01-0114-01-01,XOne,Action,0.46
-01-0114-01-01,PS4,Adventure,0.46
-01-0106-01-01,X360,Sports,0.46
-01-0105-01-01,PS2,Shooter,0.46
-01-0108-01-01,DS,Platform,0.46
1983-01-01,2600,Action,0.46
-01-0102-01-01,PS2,Action,0.46
-01-01-01-01-01-01,Wii,Racing,0.46
-01-0103-01-01,PS2,Misc,0.46
-01-0101-01-01,GBA,Action,0.46
-01-0103-01-01,GBA,Racing,0.46
-01-0107-01-01,DS,Puzzle,0.46
-01-0114-01-01,PS3,Action,0.46
-01-0112-01-01,PS3,Action,0.46
-01-0108-01-01,DS,Action,0.46
-01-01-01-01-01-01,Wii,Fighting,0.46
-01-0109-01-01,PS2,Platform,0.46
-01-0102-01-01,PS2,Misc,0.46
-01-0115-01-01,WiiU,Action,0.46
-01-0111-01-01,PC,Simulation,0.46
-01-01-01-01-01-01,PS,Racing,0.46
1999-01-01,PS,Fighting,0.46
-01-0105-01-01,PS2,Shooter,0.46
-01-0109-01-01,Wii,Platform,0.46
1994-01-01,SNES,Shooter,0.46
-01-0102-01-01,PS2,Role-Playing,0.46
-01-0103-01-01,GBA,Role-Playing,0.46
-01-0107-01-01,PS3,Racing,0.46
-01-0109-01-01,Wii,Puzzle,0.46
-01-0103-01-01,XB,Sports,0.46
-01-0106-01-01,PSP,Shooter,0.46
1995-01-01,PS,Simulation,0.46
-01-0107-01-01,X360,Action,0.46
-01-0106-01-01,PSP,Action,0.46
-01-0113-01-01,XOne,Misc,0.45
-01-0109-01-01,PS3,Role-Playing,0.45
-01-0105-01-01,GBA,Platform,0.45
-01-0108-01-01,DS,Platform,0.45
1999-01-01,PS,Shooter,0.45
-01-0114-01-01,3DS,Sports,0.45
1996-01-01,SNES,Sports,0.45
-01-0105-01-01,PS2,Sports,0.45
-01-0103-01-01,GC,Action,0.45
-01-0114-01-01,X360,Action,0.45
-01-0104-01-01,XB,Racing,0.45
1995-01-01,SNES,Sports,0.45
-01-0109-01-01,X360,Racing,0.45
-01-0114-01-01,X360,Sports,0.45
-01-0102-01-01,GC,Role-Playing,0.45
-01-0112-01-01,PSV,Action,0.45
-01-0102-01-01,PS2,Action,0.45
-01-0106-01-01,DS,Fighting,0.45
-01-0108-01-01,DS,Adventure,0.45
-01-0111-01-01,Wii,Misc,0.45
nan,XB,Shooter,0.45
-01-0106-01-01,PS2,Sports,0.45
1985-01-01,2600,Puzzle,0.45
-01-0111-01-01,DS,Action,0.45
1998-01-01,PS,Sports,0.45
-01-0108-01-01,Wii,Action,0.45
-01-0105-01-01,PS2,Shooter,0.45
1998-01-01,PS,Sports,0.45
-01-0104-01-01,PS2,Sports,0.45
-01-0107-01-01,DS,Puzzle,0.45
-01-0108-01-01,Wii,Misc,0.45
-01-0107-01-01,Wii,Adventure,0.45
-01-0114-01-01,3DS,Action,0.45
-01-0109-01-01,Wii,Adventure,0.45
-01-0103-01-01,XB,Shooter,0.45
1981-01-01,2600,Simulation,0.45
-01-0109-01-01,PSP,Action,0.45
-01-0108-01-01,DS,Misc,0.45
-01-0108-01-01,X360,Strategy,0.45
-01-0108-01-01,X360,Shooter,0.45
-01-0111-01-01,X360,Sports,0.45
-01-0105-01-01,DS,Simulation,0.45
1998-01-01,PS,Action,0.45
-01-0106-01-01,PSP,Racing,0.45
-01-0107-01-01,PSP,Racing,0.45
-01-0104-01-01,GBA,Misc,0.45
-01-0113-01-01,PSV,Role-Playing,0.45
-01-01-01-01-01-01,Wii,Action,0.45
-01-0107-01-01,Wii,Action,0.45
-01-0101-01-01,PS2,Sports,0.45
-01-0111-01-01,PS3,Shooter,0.45
-01-0103-01-01,PS2,Action,0.45
1993-01-01,SNES,Fighting,0.45
1998-01-01,N64,Action,0.45
-01-01-01-01-01-01,N64,Puzzle,0.45
-01-0109-01-01,Wii,Sports,0.45
-01-01-01-01-01-01,DS,Puzzle,0.45
-01-0114-01-01,WiiU,Action,0.45
-01-0101-01-01,GBA,Fighting,0.45
-01-0106-01-01,PS2,Role-Playing,0.45
1995-01-01,PS,Role-Playing,0.45
-01-0104-01-01,GBA,Racing,0.45
-01-0107-01-01,DS,Misc,0.45
nan,2600,Action,0.45
1995-01-01,PS,Action,0.45
-01-0108-01-01,X360,Fighting,0.45
-01-0107-01-01,Wii,Action,0.45
-01-0107-01-01,DS,Action,0.45
-01-0107-01-01,X360,Racing,0.45
-01-0109-01-01,PS2,Misc,0.45
1999-01-01,PS,Role-Playing,0.45
-01-0108-01-01,PS2,Misc,0.45
-01-0104-01-01,PS2,Action,0.45
-01-0109-01-01,DS,Misc,0.45
1994-01-01,PS,Sports,0.45
-01-0105-01-01,XB,Fighting,0.45
-01-0104-01-01,GC,Sports,0.45
-01-0111-01-01,PS3,Shooter,0.45
1987-01-01,2600,Shooter,0.45
-01-0104-01-01,GC,Fighting,0.45
-01-0109-01-01,X360,Sports,0.45
-01-0103-01-01,XB,Racing,0.45
-01-01-01-01-01-01,X360,Action,0.45
-01-01-01-01-01-01,PS,Racing,0.45
-01-0116-01-01,PS4,Sports,0.45
-01-0102-01-01,PS2,Racing,0.45
1996-01-01,PS,Role-Playing,0.45
-01-0111-01-01,3DS,Fighting,0.45
-01-0115-01-01,PS3,Action,0.45
-01-01-01-01-01-01,Wii,Misc,0.45
-01-0114-01-01,PC,Shooter,0.45
-01-0113-01-01,PS3,Action,0.45
1981-01-01,2600,Action,0.45
-01-0104-01-01,PS2,Action,0.45
-01-0114-01-01,PC,Action,0.45
-01-0104-01-01,GBA,Sports,0.45
-01-0108-01-01,Wii,Sports,0.45
-01-0111-01-01,X360,Shooter,0.45
-01-01-01-01-01-01,Wii,Misc,0.45
nan,X360,Action,0.45
-01-0104-01-01,PS2,Misc,0.44
-01-0111-01-01,PS3,Shooter,0.44
-01-0109-01-01,DS,Simulation,0.44
-01-0109-01-01,Wii,Misc,0.44
-01-0106-01-01,PS2,Sports,0.44
-01-01-01-01-01-01,X360,Sports,0.44
-01-0105-01-01,PS2,Misc,0.44
-01-0105-01-01,XB,Sports,0.44
1999-01-01,N64,Sports,0.44
-01-0104-01-01,PS2,Action,0.44
-01-0105-01-01,PS2,Misc,0.44
-01-0102-01-01,PS2,Adventure,0.44
-01-0104-01-01,PS2,Action,0.44
-01-0115-01-01,WiiU,Sports,0.44
-01-0111-01-01,PS3,Sports,0.44
-01-0105-01-01,XB,Role-Playing,0.44
-01-0112-01-01,X360,Fighting,0.44
-01-0114-01-01,PS3,Shooter,0.44
-01-0114-01-01,PS4,Action,0.44
-01-0107-01-01,PSP,Strategy,0.44
-01-0109-01-01,DS,Action,0.44
-01-0103-01-01,PS2,Action,0.44
-01-0106-01-01,XB,Action,0.44
-01-0108-01-01,DS,Strategy,0.44
1996-01-01,PS,Sports,0.44
-01-0102-01-01,XB,Sports,0.44
-01-0105-01-01,PS2,Shooter,0.44
-01-0105-01-01,XB,Action,0.44
-01-0103-01-01,GBA,Platform,0.44
1997-01-01,PS,Shooter,0.44
-01-0107-01-01,PS3,Sports,0.44
1999-01-01,PS,Racing,0.44
-01-0114-01-01,XOne,Action,0.44
-01-0106-01-01,XB,Action,0.44
-01-0108-01-01,X360,Action,0.44
-01-0107-01-01,Wii,Simulation,0.44
-01-0105-01-01,DS,Action,0.44
-01-0105-01-01,PS2,Shooter,0.44
-01-01-01-01-01-01,PS,Puzzle,0.44
1996-01-01,PS,Role-Playing,0.44
1996-01-01,SNES,Puzzle,0.44
-01-0114-01-01,X360,Role-Playing,0.44
-01-0108-01-01,Wii,Misc,0.44
-01-0109-01-01,Wii,Simulation,0.44
1991-01-01,NES,Puzzle,0.44
1997-01-01,N64,Shooter,0.44
-01-0111-01-01,DS,Action,0.44
-01-0104-01-01,DS,Simulation,0.44
-01-0105-01-01,GC,Misc,0.44
-01-0107-01-01,PS2,Strategy,0.44
-01-0109-01-01,Wii,Action,0.44
-01-0101-01-01,PS,Action,0.44
-01-0112-01-01,X360,Action,0.44
-01-01-01-01-01-01,PSP,Shooter,0.44
-01-0104-01-01,XB,Racing,0.44
-01-0107-01-01,DS,Simulation,0.44
-01-0102-01-01,PS2,Sports,0.44
-01-01-01-01-01-01,PS,Sports,0.44
-01-0104-01-01,GC,Fighting,0.44
-01-0111-01-01,Wii,Sports,0.44
-01-0103-01-01,GC,Platform,0.44
-01-0113-01-01,X360,Action,0.44
-01-0103-01-01,GBA,Action,0.44
nan,2600,Puzzle,0.44
-01-0112-01-01,PSV,Action,0.44
-01-0108-01-01,PS3,Platform,0.44
-01-0103-01-01,PS2,Misc,0.44
-01-0109-01-01,Wii,Action,0.44
-01-0109-01-01,Wii,Action,0.44
-01-0102-01-01,GC,Shooter,0.44
-01-0103-01-01,GBA,Action,0.44
nan,X360,Action,0.44
-01-0102-01-01,GC,Adventure,0.44
-01-0109-01-01,Wii,Misc,0.44
-01-0104-01-01,GBA,Action,0.44
-01-0105-01-01,PS2,Fighting,0.44
-01-0107-01-01,X360,Shooter,0.44
-01-0107-01-01,Wii,Strategy,0.44
-01-0109-01-01,Wii,Misc,0.44
-01-0109-01-01,PS2,Misc,0.44
-01-0111-01-01,X360,Shooter,0.44
1996-01-01,SAT,Adventure,0.44
-01-0105-01-01,PS2,Action,0.44
-01-01-01-01-01-01,PS3,Action,0.44
-01-01-01-01-01-01,DS,Simulation,0.44
-01-0102-01-01,PS2,Sports,0.44
-01-0107-01-01,PS2,Action,0.44
-01-0108-01-01,PS3,Role-Playing,0.44
-01-0109-01-01,PS3,Misc,0.44
-01-0109-01-01,Wii,Misc,0.44
-01-0102-01-01,XB,Simulation,0.44
-01-01-01-01-01-01,Wii,Sports,0.44
-01-0104-01-01,GBA,Adventure,0.43
-01-0107-01-01,Wii,Platform,0.43
-01-0103-01-01,PS2,Action,0.43
-01-0111-01-01,X360,Racing,0.43
-01-0109-01-01,PSP,Strategy,0.43
-01-0112-01-01,PS3,Action,0.43
-01-0109-01-01,DS,Misc,0.43
-01-0104-01-01,GBA,Racing,0.43
-01-0101-01-01,N64,Sports,0.43
-01-0108-01-01,PS2,Action,0.43
-01-0106-01-01,DS,Puzzle,0.43
-01-0101-01-01,PS,Shooter,0.43
-01-0101-01-01,XB,Sports,0.43
-01-0105-01-01,GBA,Simulation,0.43
-01-0111-01-01,3DS,Puzzle,0.43
-01-0115-01-01,XOne,Shooter,0.43
-01-0114-01-01,PS4,Action,0.43
-01-0105-01-01,PS2,Action,0.43
1996-01-01,SAT,Platform,0.43
-01-0109-01-01,PS3,Action,0.43
-01-0103-01-01,XB,Sports,0.43
-01-0103-01-01,PS2,Action,0.43
-01-0116-01-01,3DS,Action,0.43
-01-0111-01-01,PS3,Misc,0.43
-01-0114-01-01,PS3,Fighting,0.43
-01-01-01-01-01-01,PS3,Action,0.43
-01-0101-01-01,PS,Sports,0.43
-01-0113-01-01,X360,Action,0.43
-01-0114-01-01,XOne,Action,0.43
-01-0114-01-01,PS3,Sports,0.43
-01-0112-01-01,X360,Action,0.43
-01-01-01-01-01-01,PS3,Role-Playing,0.43
-01-01-01-01-01-01,PS2,Shooter,0.43
1981-01-01,2600,Action,0.43
-01-0104-01-01,PS2,Role-Playing,0.43
-01-0102-01-01,GBA,Platform,0.43
-01-0103-01-01,GBA,Platform,0.43
-01-0107-01-01,DS,Misc,0.43
1994-01-01,SNES,Simulation,0.43
-01-0113-01-01,PS3,Shooter,0.43
-01-0115-01-01,X360,Sports,0.43
-01-0107-01-01,PSP,Fighting,0.43
-01-0104-01-01,GBA,Misc,0.43
-01-0112-01-01,PS3,Action,0.43
-01-0109-01-01,PS2,Action,0.43
-01-0103-01-01,PS2,Action,0.43
1997-01-01,N64,Platform,0.43
1998-01-01,N64,Racing,0.43
-01-0104-01-01,PS2,Sports,0.43
-01-0109-01-01,DS,Misc,0.43
-01-0103-01-01,PS2,Role-Playing,0.43
-01-01-01-01-01-01,DS,Adventure,0.43
1996-01-01,PS,Sports,0.43
-01-0113-01-01,3DS,Role-Playing,0.43
-01-0112-01-01,PS3,Misc,0.43
-01-0101-01-01,PS2,Simulation,0.43
-01-0108-01-01,PS2,Misc,0.43
-01-0109-01-01,DS,Puzzle,0.43
-01-0106-01-01,PS2,Role-Playing,0.43
-01-0105-01-01,DS,Platform,0.43
-01-0112-01-01,PC,Shooter,0.43
-01-01-01-01-01-01,DS,Action,0.43
-01-0106-01-01,PSP,Role-Playing,0.43
-01-0108-01-01,DS,Simulation,0.43
-01-01-01-01-01-01,PS3,Role-Playing,0.43
-01-0115-01-01,PS4,Action,0.43
-01-01-01-01-01-01,DS,Sports,0.43
-01-0107-01-01,DS,Simulation,0.43
-01-0113-01-01,X360,Platform,0.43
-01-0102-01-01,GC,Sports,0.43
-01-0102-01-01,GBA,Sports,0.43
-01-0103-01-01,XB,Misc,0.43
-01-0108-01-01,X360,Misc,0.43
-01-0109-01-01,Wii,Sports,0.43
-01-0106-01-01,PC,Simulation,0.43
-01-0109-01-01,PS2,Action,0.43
1997-01-01,PS,Sports,0.43
-01-0105-01-01,PS2,Misc,0.43
-01-0108-01-01,Wii,Platform,0.43
-01-0106-01-01,DS,Action,0.42
-01-0111-01-01,PSP,Strategy,0.42
1997-01-01,SAT,Role-Playing,0.42
-01-0102-01-01,GC,Sports,0.42
-01-0107-01-01,PS3,Action,0.42
-01-0114-01-01,X360,Sports,0.42
-01-0107-01-01,PS2,Platform,0.42
-01-01-01-01-01-01,PS3,Role-Playing,0.42
-01-0101-01-01,GBA,Role-Playing,0.42
-01-0106-01-01,PSP,Racing,0.42
-01-0106-01-01,PS2,Shooter,0.42
-01-0105-01-01,PS2,Sports,0.42
-01-0103-01-01,GC,Shooter,0.42
-01-0103-01-01,XB,Simulation,0.42
-01-0103-01-01,PS2,Adventure,0.42
1999-01-01,PS,Adventure,0.42
1991-01-01,SNES,Action,0.42
1998-01-01,PS,Action,0.42
-01-0111-01-01,DS,Misc,0.42
-01-0105-01-01,GC,Sports,0.42
-01-0107-01-01,X360,Strategy,0.42
-01-0109-01-01,Wii,Shooter,0.42
-01-0108-01-01,PSP,Platform,0.42
-01-0109-01-01,DS,Action,0.42
-01-0104-01-01,GBA,Platform,0.42
1997-01-01,PS,Simulation,0.42
-01-0103-01-01,PS2,Sports,0.42
-01-0103-01-01,PS,Sports,0.42
-01-0115-01-01,X360,Action,0.42
-01-0109-01-01,PSP,Action,0.42
-01-0101-01-01,PS,Racing,0.42
-01-0113-01-01,PSV,Action,0.42
-01-0112-01-01,PS3,Simulation,0.42
1997-01-01,SAT,Role-Playing,0.42
-01-01-01-01-01-01,Wii,Sports,0.42
-01-0104-01-01,XB,Sports,0.42
-01-0105-01-01,GBA,Misc,0.42
-01-0103-01-01,PS2,Racing,0.42
-01-0107-01-01,PS2,Action,0.42
-01-0102-01-01,PS2,Action,0.42
-01-0114-01-01,PS4,Racing,0.42
-01-0104-01-01,PS2,Racing,0.42
-01-0109-01-01,Wii,Racing,0.42
-01-0104-01-01,GBA,Action,0.42
-01-0109-01-01,X360,Misc,0.42
-01-0104-01-01,GBA,Platform,0.42
1998-01-01,PS,Racing,0.42
-01-0111-01-01,PSV,Sports,0.42
1999-01-01,PS,Role-Playing,0.42
-01-0111-01-01,Wii,Misc,0.42
-01-0109-01-01,DS,Action,0.42
-01-0108-01-01,PSP,Fighting,0.42
-01-0102-01-01,XB,Racing,0.42
-01-0104-01-01,PS2,Sports,0.42
-01-0107-01-01,Wii,Simulation,0.42
-01-0103-01-01,PS2,Action,0.42
-01-0107-01-01,PSP,Action,0.42
-01-0101-01-01,N64,Puzzle,0.42
1999-01-01,N64,Sports,0.42
-01-01-01-01-01-01,N64,Shooter,0.42
1998-01-01,N64,Racing,0.42
-01-01-01-01-01-01,N64,Sports,0.42
-01-0104-01-01,GC,Shooter,0.42
-01-0105-01-01,PSP,Sports,0.42
-01-0108-01-01,PS2,Sports,0.42
-01-0106-01-01,DS,Simulation,0.42
-01-0104-01-01,XB,Simulation,0.42
-01-0104-01-01,GC,Platform,0.42
-01-0108-01-01,DS,Platform,0.42
1995-01-01,SNES,Sports,0.42
-01-0104-01-01,GBA,Misc,0.42
-01-01-01-01-01-01,Wii,Action,0.42
-01-0108-01-01,PS2,Sports,0.42
-01-0114-01-01,3DS,Simulation,0.42
-01-01-01-01-01-01,DS,Misc,0.42
-01-0105-01-01,GC,Action,0.42
-01-0107-01-01,PS2,Strategy,0.42
-01-0113-01-01,PS3,Action,0.42
-01-01-01-01-01-01,PSP,Action,0.42
-01-0101-01-01,PS,Action,0.42
-01-0102-01-01,PS2,Shooter,0.42
-01-0105-01-01,GC,Puzzle,0.42
-01-0105-01-01,PS2,Action,0.42
-01-0112-01-01,Wii,Sports,0.42
1998-01-01,PS,Sports,0.42
-01-0109-01-01,PS3,Misc,0.42
-01-0101-01-01,GBA,Platform,0.42
-01-0106-01-01,XB,Shooter,0.42
-01-0106-01-01,XB,Action,0.42
-01-0112-01-01,X360,Shooter,0.42
nan,Wii,Sports,0.42
-01-0116-01-01,WiiU,Role-Playing,0.42
-01-0108-01-01,DS,Role-Playing,0.42
-01-01-01-01-01-01,X360,Shooter,0.42
-01-0107-01-01,DS,Misc,0.42
-01-01-01-01-01-01,PS3,Action,0.42
-01-0104-01-01,XB,Role-Playing,0.42
-01-0107-01-01,PS2,Action,0.42
-01-01-01-01-01-01,PS,Adventure,0.42
1997-01-01,PS,Fighting,0.42
-01-0106-01-01,X360,Simulation,0.42
-01-0107-01-01,Wii,Adventure,0.42
-01-0104-01-01,PS2,Misc,0.42
nan,PC,Role-Playing,0.42
-01-0113-01-01,3DS,Action,0.42
-01-0104-01-01,PS2,Action,0.42
1995-01-01,SAT,Fighting,0.42
-01-0101-01-01,XB,Simulation,0.42
-01-0115-01-01,WiiU,Misc,0.41
-01-0103-01-01,PS2,Sports,0.41
-01-0103-01-01,PS2,Simulation,0.41
-01-0113-01-01,PS4,Misc,0.41
-01-0103-01-01,PS2,Misc,0.41
-01-0101-01-01,GBA,Adventure,0.41
-01-0103-01-01,PS2,Sports,0.41
-01-0105-01-01,X360,Action,0.41
-01-0101-01-01,GBA,Adventure,0.41
-01-01-01-01-01-01,DS,Misc,0.41
1998-01-01,PC,Action,0.41
-01-01-01-01-01-01,PS2,Sports,0.41
1999-01-01,DC,Racing,0.41
1998-01-01,PS,Shooter,0.41
-01-0107-01-01,PS2,Action,0.41
-01-0116-01-01,XOne,Sports,0.41
-01-01-01-01-01-01,PS2,Sports,0.41
-01-01-01-01-01-01,PS,Misc,0.41
-01-0105-01-01,XB,Shooter,0.41
-01-0109-01-01,PSP,Fighting,0.41
-01-0107-01-01,X360,Shooter,0.41
-01-01-01-01-01-01,PS,Sports,0.41
1999-01-01,PS,Action,0.41
-01-0116-01-01,PS4,Simulation,0.41
-01-01-01-01-01-01,PS,Sports,0.41
-01-0107-01-01,PSP,Platform,0.41
1995-01-01,SAT,Action,0.41
-01-01-01-01-01-01,PS3,Action,0.41
-01-0115-01-01,PS3,Shooter,0.41
-01-0102-01-01,PS2,Platform,0.41
-01-0107-01-01,DS,Misc,0.41
-01-0106-01-01,PS2,Action,0.41
-01-0113-01-01,PS3,Action,0.41
-01-0115-01-01,XOne,Action,0.41
-01-01-01-01-01-01,PSP,Sports,0.41
-01-0107-01-01,PSP,Action,0.41
-01-0109-01-01,DS,Fighting,0.41
-01-0109-01-01,DS,Shooter,0.41
-01-0114-01-01,XOne,Sports,0.41
1996-01-01,SAT,Adventure,0.41
-01-0116-01-01,PC,Shooter,0.41
-01-0107-01-01,PSP,Strategy,0.41
-01-0105-01-01,PS2,Adventure,0.41
-01-0109-01-01,Wii,Adventure,0.41
-01-01-01-01-01-01,PS3,Misc,0.41
1996-01-01,PS,Racing,0.41
-01-0113-01-01,PSV,Sports,0.41
-01-0109-01-01,Wii,Misc,0.41
-01-0109-01-01,PSP,Racing,0.41
-01-0102-01-01,PS2,Adventure,0.41
-01-0114-01-01,PS3,Racing,0.41
1997-01-01,PS,Strategy,0.41
-01-0107-01-01,PS3,Racing,0.41
-01-0112-01-01,WiiU,Shooter,0.41
1999-01-01,N64,Role-Playing,0.41
1999-01-01,N64,Action,0.41
1985-01-01,NES,Puzzle,0.41
-01-0107-01-01,PC,Shooter,0.41
