# --------------------------------------------------------------------
# USE OF NOAA GML DATA
# 
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data 
# are obtained for potential use in a publication or presentation, 
# GML should be informed at the outset of the nature of this work.  
# If the GML data are essential to the work, or if an important 
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
# 
# Contact:  Pieter Tans (303 497 6678; pieter.tans@noaa.gov)
# 
# File Creation: Sun Oct 16 05:00:30 2022
# 
# RECIPROCITY
# 
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information 
# necessary for other scientists to repeat the work and to run 
# modified versions. Model availability includes collaborative 
# support for new users of the models.
# --------------------------------------------------------------------
# 
# 
# See gml.noaa.gov/ccgg/trends/ for additional details.
# 
# NOTE: DATA FOR THE LAST SEVERAL MONTHS ARE PRELIMINARY, ARE STILL SUBJECT
# TO QUALITY CONTROL PROCEDURES.
# NOTE: The week "1 yr ago" is exactly 365 days ago, and thus does not run from
# Sunday through Saturday. 365 also ignores the possibility of a leap year.
# The week "10 yr ago" is exactly 10*365 days +3 days (for leap years) ago.
#
#      Start of week      CO2 molfrac           (-999.99 = no data)  increase

  yr   mon day  decimal      ppm     days       1_yr_ago  10_yr_ago  since_1800
  1974  12  15  1974.9534    329.78  7          -999.99   -999.99     50.68
  1974  12  22  1974.9726    329.96  7          -999.99   -999.99     50.64
  1974  12  29  1974.9918    330.38  7          -999.99   -999.99     50.86
  1975   1   5  1975.0110    330.49  6          -999.99   -999.99     50.79
  1975   1  12  1975.0301    330.59  7          -999.99   -999.99     50.72
  1975   1  19  1975.0493    330.79  7          -999.99   -999.99     50.75
  1975   1  26  1975.0685    331.24  7          -999.99   -999.99     51.03
  1975   2   2  1975.0877    331.64  6          -999.99   -999.99     51.26
  1975   2   9  1975.1068    331.11  7          -999.99   -999.99     50.55
  1975   2  16  1975.1260    331.42  6          -999.99   -999.99     50.67
  1975   2  23  1975.1452    331.96  7          -999.99   -999.99     51.00
  1975   3   2  1975.1644    331.77  3          -999.99   -999.99     50.58
  1975   3   9  1975.1836    331.64  5          -999.99   -999.99     50.22
  1975   3  16  1975.2027    332.11  5          -999.99   -999.99     50.45
  1975   3  23  1975.2219    331.90  3          -999.99   -999.99     49.98
  1975   3  30  1975.2411    333.30  5          -999.99   -999.99     51.15
  1975   4   6  1975.2603    332.78  5          -999.99   -999.99     50.40
  1975   4  13  1975.2795    333.16  3          -999.99   -999.99     50.57
  1975   4  20  1975.2986    333.28  6          -999.99   -999.99     50.51
  1975   4  27  1975.3178    333.48  7          -999.99   -999.99     50.58
  1975   5   4  1975.3370    333.94  7          -999.99   -999.99     50.95
  1975   5  11  1975.3562    334.25  6          -999.99   -999.99     51.23
  1975   5  18  1975.3753    333.46  5          -999.99   -999.99     50.47
  1975   5  25  1975.3945    334.00  7           332.95   -999.99     51.08
  1975   6   1  1975.4137    333.96  7           332.44   -999.99     51.18
  1975   6   8  1975.4329    333.19  6           332.20   -999.99     50.60
  1975   6  15  1975.4521    333.23  7           332.32   -999.99     50.88
  1975   6  22  1975.4712    333.50  6           331.83   -999.99     51.45
  1975   6  29  1975.4904    333.00  6           331.72   -999.99     51.29
  1975   7   6  1975.5096    332.32  6           331.50   -999.99     51.00
  1975   7  13  1975.5288    331.83  5           330.95   -999.99     50.94
  1975   7  20  1975.5479    331.37  4           330.79   -999.99     50.95
  1975   7  27  1975.5671    331.22  5           329.97   -999.99     51.31
  1975   8   3  1975.5863    331.01  6           329.93   -999.99     51.63
  1975   8  10  1975.6055    330.38  5           329.15   -999.99     51.53
  1975   8  17  1975.6247    329.48  6           329.21   -999.99     51.14
  1975   8  24  1975.6438    328.73  5           328.39   -999.99     50.87
  1975   8  31  1975.6630    329.32  5           328.09   -999.99     51.89
  1975   9   7  1975.6822    329.42  3           327.74   -999.99     52.35
  1975   9  14  1975.7014    327.94  7           326.84   -999.99     51.14
  1975   9  21  1975.7205    327.95  5           326.73   -999.99     51.32
  1975   9  28  1975.7397    327.97  5           327.52   -999.99     51.42
  1975  10   5  1975.7589   -999.99  0           326.98   -999.99   -999.99
  1975  10  12  1975.7781    328.40  1           327.21   -999.99     51.72
  1975  10  19  1975.7973    328.73  4           327.38   -999.99     51.87
  1975  10  26  1975.8164    328.80  5           327.59   -999.99     51.71
  1975  11   2  1975.8356    329.03  6           327.87   -999.99     51.65
  1975  11   9  1975.8548    329.01  6           328.23   -999.99     51.34
  1975  11  16  1975.8740    329.22  2           328.69   -999.99     51.24
  1975  11  23  1975.8932    330.18  2           328.44   -999.99     51.90
  1975  11  30  1975.9123    329.72  1           328.77   -999.99     51.16
  1975  12   7  1975.9315   -999.99  0           329.32   -999.99   -999.99
  1975  12  14  1975.9507   -999.99  0           329.68   -999.99   -999.99
  1975  12  21  1975.9699   -999.99  0           329.96   -999.99   -999.99
  1975  12  28  1975.9890   -999.99  0           330.27   -999.99   -999.99
  1976   1   4  1976.0109    331.33  3           330.59   -999.99     51.63
  1976   1  11  1976.0301    331.53  5           330.62   -999.99     51.66
  1976   1  18  1976.0492    331.66  6           330.54   -999.99     51.62
  1976   1  25  1976.0683    331.88  5           331.37   -999.99     51.67
  1976   2   1  1976.0874    332.45  5           331.52   -999.99     52.07
  1976   2   8  1976.1066    332.51  5           331.19   -999.99     51.95
  1976   2  15  1976.1257    332.61  6           331.31   -999.99     51.86
  1976   2  22  1976.1448    333.49  5           331.83   -999.99     52.53
  1976   2  29  1976.1639    332.43  3           331.97   -999.99     51.25
  1976   3   7  1976.1803    332.88  7           331.64   -999.99     51.51
  1976   3  14  1976.1995    333.56  6           332.02   -999.99     51.94
  1976   3  21  1976.2186    334.33  2           331.95   -999.99     52.46
  1976   3  28  1976.2377    334.56  4           333.49   -999.99     52.45
  1976   4   4  1976.2568    335.06  4           332.75   -999.99     52.71
  1976   4  11  1976.2760    333.01  1           333.16   -999.99     50.45
  1976   4  18  1976.2951    334.70  6           333.34   -999.99     51.96
  1976   4  25  1976.3142    335.06  5           333.26   -999.99     52.18
  1976   5   2  1976.3333    334.17  4           333.99   -999.99     51.20
  1976   5   9  1976.3525    334.32  6           334.21   -999.99     51.31
  1976   5  16  1976.3716    335.29  4           333.47   -999.99     52.28
  1976   5  23  1976.3907    335.28  4           333.99   -999.99     52.34
  1976   5  30  1976.4098    334.43  6           333.92   -999.99     51.62
  1976   6   6  1976.4290    334.21  4           333.38   -999.99     51.57
  1976   6  13  1976.4481    334.17  5           333.21   -999.99     51.77
  1976   6  20  1976.4672    334.05  2           333.45   -999.99     51.92
  1976   6  27  1976.4863   -999.99  0           333.05   -999.99   -999.99
  1976   7   4  1976.5055    333.60  4           332.42   -999.99     52.19
  1976   7  11  1976.5246    333.48  3           332.01   -999.99     52.50
  1976   7  18  1976.5437    332.43  3           331.29   -999.99     51.91
  1976   7  25  1976.5628    332.24  5           331.26   -999.99     52.21
  1976   8   1  1976.5820    331.69  5           331.01   -999.99     52.18
  1976   8   8  1976.6011    330.70  6           330.39   -999.99     51.72
  1976   8  15  1976.6202    330.44  5           329.72   -999.99     51.98
  1976   8  22  1976.6393    330.23  6           328.79   -999.99     52.26
  1976   8  29  1976.6585    330.43  2           329.11   -999.99     52.91
  1976   9   5  1976.6776    329.53  2           329.49   -999.99     52.38
  1976   9  12  1976.6967    329.54  2           327.93   -999.99     52.68
  1976   9  19  1976.7158    328.61  6           327.96   -999.99     51.95
  1976   9  26  1976.7350    327.65  3           327.97   -999.99     51.09
  1976  10   3  1976.7541    328.54  5          -999.99   -999.99     51.98
  1976  10  10  1976.7732    328.55  4           328.40   -999.99     51.90
  1976  10  17  1976.7923    329.28  3           328.75   -999.99     52.47
  1976  10  24  1976.8115    328.82  6           328.65   -999.99     51.79
  1976  10  31  1976.8306    329.40  4           329.13   -999.99     52.11
  1976  11   7  1976.8497    330.44  4           328.98   -999.99     52.85
  1976  11  14  1976.8689    330.17  7           329.22   -999.99     52.27
  1976  11  21  1976.8880    330.55  7           330.27   -999.99     52.36
  1976  11  28  1976.9071    330.68  7           329.90   -999.99     52.20
  1976  12   5  1976.9262    331.19  3          -999.99   -999.99     52.43
  1976  12  12  1976.9454    332.38  2          -999.99   -999.99     53.38
  1976  12  19  1976.9645    331.70  6          -999.99   -999.99     52.47
  1976  12  26  1976.9836    332.38  6          -999.99   -999.99     52.94
  1977   1   2  1977.0027    332.39  6           331.39   -999.99     52.76
  1977   1   9  1977.0219    332.50  6           331.42   -999.99     52.68
  1977   1  16  1977.0411    332.88  4           331.71   -999.99     52.89
  1977   1  23  1977.0603    333.02  5           331.80   -999.99     52.88
  1977   1  30  1977.0795    332.98  3           332.35   -999.99     52.67
  1977   2   6  1977.0986    333.23  4           332.38   -999.99     52.75
  1977   2  13  1977.1178    333.15  5           332.68   -999.99     52.49
  1977   2  20  1977.1370    333.18  7           333.43   -999.99     52.32
  1977   2  27  1977.1562    334.35  5           332.55   -999.99     53.29
  1977   3   6  1977.1753    334.30  5           332.81   -999.99     53.01
  1977   3  13  1977.1945    335.19  5           333.59   -999.99     53.66
  1977   3  20  1977.2137    335.32  6           333.64   -999.99     53.53
  1977   3  27  1977.2329    335.18  4           334.51   -999.99     53.14
  1977   4   3  1977.2521    336.01  3           335.06   -999.99     53.74
  1977   4  10  1977.2712    335.85  5           333.89   -999.99     53.36
  1977   4  17  1977.2904    336.31  7           334.75   -999.99     53.63
  1977   4  24  1977.3096    336.59  5           334.99   -999.99     53.76
  1977   5   1  1977.3288    337.00  3           334.50   -999.99     54.07
  1977   5   8  1977.3479    336.58  3           334.22   -999.99     53.60
  1977   5  15  1977.3671    337.10  4           334.97   -999.99     54.12
  1977   5  22  1977.3863    336.99  7           335.29   -999.99     54.07
  1977   5  29  1977.4055    336.63  6           334.50   -999.99     53.82
  1977   6   5  1977.4247    336.20  6           334.18   -999.99     53.54
  1977   6  12  1977.4438    336.01  5           334.17   -999.99     53.57
  1977   6  19  1977.4630    336.34  5           334.05   -999.99     54.16
  1977   6  26  1977.4822    335.74  6          -999.99   -999.99     53.87
  1977   7   3  1977.5014    335.46  3           333.78   -999.99     53.96
  1977   7  10  1977.5205    335.24  5           333.38   -999.99     54.15
  1977   7  17  1977.5397    334.60  3           332.56   -999.99     53.97
  1977   7  24  1977.5589    334.10  6           332.26   -999.99     53.95
  1977   7  31  1977.5781    333.42  5           331.82   -999.99     53.78
  1977   8   7  1977.5973    332.54  5           330.95   -999.99     53.43
  1977   8  14  1977.6164    332.84  3           330.36   -999.99     54.25
  1977   8  21  1977.6356    331.82  3           330.23   -999.99     53.72
  1977   8  28  1977.6548    332.25  5           330.43   -999.99     54.59
  1977   9   4  1977.6740    331.18  3           329.53   -999.99     53.91
  1977   9  11  1977.6932    331.48  7           329.54   -999.99     54.51
  1977   9  18  1977.7123    330.92  3           328.71   -999.99     54.17
  1977   9  25  1977.7315    330.93  5           327.76   -999.99     54.30
  1977  10   2  1977.7507    330.94  6           328.54   -999.99     54.33
  1977  10   9  1977.7699    331.54  4           328.55   -999.99     54.88
  1977  10  16  1977.7890    331.27  4           329.27   -999.99     54.48
  1977  10  23  1977.8082    331.37  7           328.89   -999.99     54.37
  1977  10  30  1977.8274    331.88  3           329.40   -999.99     54.64
  1977  11   6  1977.8466    332.08  6           330.60   -999.99     54.56
  1977  11  13  1977.8658    332.53  4           330.11   -999.99     54.72
  1977  11  20  1977.8849    333.11  6           330.50   -999.99     55.00
  1977  11  27  1977.9041    332.65  5           330.72   -999.99     54.25
  1977  12   4  1977.9233    333.34  6           330.87   -999.99     54.66
  1977  12  11  1977.9425    333.40  5           332.10   -999.99     54.46
  1977  12  18  1977.9616    334.03  7           331.65   -999.99     54.85
  1977  12  25  1977.9808    333.97  5           332.36   -999.99     54.57
  1978   1   1  1978.0000    334.65  4           332.42   -999.99     55.04
  1978   1   8  1978.0192    334.56  5           332.45   -999.99     54.77
  1978   1  15  1978.0384    334.94  5           332.73   -999.99     54.97
  1978   1  22  1978.0575    335.68  5           333.02   -999.99     55.53
  1978   1  29  1978.0767    335.22  6           333.07   -999.99     54.90
  1978   2   5  1978.0959    334.74  6           333.21   -999.99     54.24
  1978   2  12  1978.1151    335.30  6           333.20   -999.99     54.60
  1978   2  19  1978.1342    335.50  7           333.15   -999.99     54.60
  1978   2  26  1978.1534    335.95  7           333.99   -999.99     54.83
  1978   3   5  1978.1726    336.06  7           334.37   -999.99     54.70
  1978   3  12  1978.1918    336.73  6           335.15   -999.99     55.13
  1978   3  19  1978.2110    336.91  5           335.41   -999.99     55.06
  1978   3  26  1978.2301    337.29  6           335.02   -999.99     55.20
  1978   4   2  1978.2493    337.33  4           336.01   -999.99     55.01
  1978   4   9  1978.2685    338.00  4           335.54   -999.99     55.48
  1978   4  16  1978.2877    337.62  5           336.32   -999.99     54.92
  1978   4  23  1978.3068    337.87  4           336.47   -999.99     55.03
  1978   4  30  1978.3260    338.27  5           337.29   -999.99     55.32
  1978   5   7  1978.3452    338.03  6           336.55   -999.99     55.03
  1978   5  14  1978.3644    337.89  7           337.11   -999.99     54.89
  1978   5  21  1978.3836    337.79  5           337.00   -999.99     54.84
  1978   5  28  1978.4027    338.44  6           336.72   -999.99     55.58
  1978   6   4  1978.4219    338.46  2           336.19   -999.99     55.75
  1978   6  11  1978.4411    338.12  5           336.12   -999.99     55.62
  1978   6  18  1978.4603    337.62  3           336.34   -999.99     55.38
  1978   6  25  1978.4795    337.47  5           335.78   -999.99     55.55
  1978   7   2  1978.4986    336.69  3           335.46   -999.99     55.13
  1978   7   9  1978.5178    336.79  6           335.28   -999.99     55.65
  1978   7  16  1978.5370    336.34  5           334.83   -999.99     55.66
  1978   7  23  1978.5562    335.86  5           334.18   -999.99     55.69
  1978   7  30  1978.5753    335.42  6           333.63   -999.99     55.77
  1978   8   6  1978.5945    334.66  7           332.58   -999.99     55.55
  1978   8  13  1978.6137    334.69  4           332.84   -999.99     56.11
  1978   8  20  1978.6329    334.20  2           331.82   -999.99     56.13
  1978   8  27  1978.6521    333.78  3           332.25   -999.99     56.17
  1978   9   3  1978.6712    332.82  3           331.18   -999.99     55.61
  1978   9  10  1978.6904    331.85  6           331.44   -999.99     54.95
  1978   9  17  1978.7096    331.75  3           330.94   -999.99     55.07
  1978   9  24  1978.7288    332.79  4           331.05   -999.99     56.24
  1978  10   1  1978.7479    332.22  5           330.96   -999.99     55.70
  1978  10   8  1978.7671    331.91  5           331.42   -999.99     55.33
  1978  10  15  1978.7863    332.67  4           331.32   -999.99     55.95
  1978  10  22  1978.8055    332.80  6           331.27   -999.99     55.87
  1978  10  29  1978.8247    333.22  4           331.81   -999.99     56.04
  1978  11   5  1978.8438    333.57  5           332.03   -999.99     56.10
  1978  11  12  1978.8630    333.61  7           332.47   -999.99     55.84
  1978  11  19  1978.8822    334.12  6           333.07   -999.99     56.05
  1978  11  26  1978.9014    334.15  4           332.66   -999.99     55.78
  1978  12   3  1978.9205    334.46  5           333.19   -999.99     55.80
  1978  12  10  1978.9397    334.96  6           333.57   -999.99     56.04
  1978  12  17  1978.9589    335.26  6           333.87   -999.99     56.10
  1978  12  24  1978.9781    335.07  7           334.05   -999.99     55.69
  1978  12  31  1978.9973    335.20  7           334.52   -999.99     55.64
  1979   1   7  1979.0164    335.48  7           334.50   -999.99     55.73
  1979   1  14  1979.0356    336.64  7           334.98   -999.99     56.70
  1979   1  21  1979.0548    336.93  5           335.29   -999.99     56.81
  1979   1  28  1979.0740    337.01  4           335.35   -999.99     56.71
  1979   2   4  1979.0932    336.60  6           334.89   -999.99     56.11
  1979   2  11  1979.1123    336.52  7           335.30   -999.99     55.83
  1979   2  18  1979.1315    336.78  7           335.43   -999.99     55.88
  1979   2  25  1979.1507    336.90  5           335.90   -999.99     55.78
  1979   3   4  1979.1699    337.93  6           336.08   -999.99     56.58
  1979   3  11  1979.1890    338.10  3           336.62   -999.99     56.50
  1979   3  18  1979.2082    338.65  3           336.75   -999.99     56.80
  1979   3  25  1979.2274    338.97  7           337.33   -999.99     56.87
  1979   4   1  1979.2466    337.89  4           337.33   -999.99     55.56
  1979   4   8  1979.2658    338.76  5           337.91   -999.99     56.20
  1979   4  15  1979.2849    338.76  7           337.60   -999.99     56.01
  1979   4  22  1979.3041    339.38  6           337.89   -999.99     56.47
  1979   4  29  1979.3233    339.52  6           338.27   -999.99     56.51
  1979   5   6  1979.3425    338.61  3           337.94   -999.99     55.54
  1979   5  13  1979.3616    339.19  4           338.03   -999.99     56.11
  1979   5  20  1979.3808    339.41  6           337.80   -999.99     56.38
  1979   5  27  1979.4000    339.67  4           338.24   -999.99     56.75
  1979   6   3  1979.4192    339.74  6           338.48   -999.99     56.98
  1979   6  10  1979.4384    339.01  4           338.12   -999.99     56.46
  1979   6  17  1979.4575    339.15  6           337.76   -999.99     56.86
  1979   6  24  1979.4767    338.93  2           337.45   -999.99     56.96
  1979   7   1  1979.4959    338.14  6           336.70   -999.99     56.53
  1979   7   8  1979.5151    337.70  5           336.82   -999.99     56.50
  1979   7  15  1979.5342    337.91  6           336.44   -999.99     57.17
  1979   7  22  1979.5534    336.67  6           335.89   -999.99     56.42
  1979   7  29  1979.5726    336.85  5           335.47   -999.99     57.13
  1979   8   5  1979.5918    336.35  6           334.72   -999.99     57.17
  1979   8  12  1979.6110    336.17  5           334.69   -999.99     57.53
  1979   8  19  1979.6301    334.81  7           334.34   -999.99     56.69
  1979   8  26  1979.6493    334.99  5           333.85   -999.99     57.35
  1979   9   2  1979.6685    333.74  2           332.47   -999.99     56.52
  1979   9   9  1979.6877    334.40  4           332.04   -999.99     57.53
  1979   9  16  1979.7068    333.60  6           331.93   -999.99     56.98
  1979   9  23  1979.7260    333.61  5           332.51   -999.99     57.13
  1979   9  30  1979.7452    334.11  6           332.34   -999.99     57.67
  1979  10   7  1979.7644    334.52  3           331.92   -999.99     58.04
  1979  10  14  1979.7836    334.09  7           332.51   -999.99     57.46
  1979  10  21  1979.8027    334.35  7           332.79   -999.99     57.52
  1979  10  28  1979.8219    334.54  4           333.10   -999.99     57.44
  1979  11   4  1979.8411    334.80  7           333.51   -999.99     57.41
  1979  11  11  1979.8603    335.36  7           333.62   -999.99     57.66
  1979  11  18  1979.8795    335.79  7           334.01   -999.99     57.78
  1979  11  25  1979.8986    335.88  7           334.17   -999.99     57.57
  1979  12   2  1979.9178    336.40  7           334.46   -999.99     57.81
  1979  12   9  1979.9370    336.72  6           334.94   -999.99     57.86
  1979  12  16  1979.9562    337.01  3           335.16   -999.99     57.91
  1979  12  23  1979.9753    337.20  3           335.16   -999.99     57.87
  1979  12  30  1979.9945    337.53  7           335.18   -999.99     58.04
  1980   1   6  1980.0164    337.40  6           335.30   -999.99     57.73
  1980   1  13  1980.0355    337.71  6           336.63   -999.99     57.89
  1980   1  20  1980.0546    338.65  7           336.84   -999.99     58.67
  1980   1  27  1980.0738    337.89  7           337.02   -999.99     57.75
  1980   2   3  1980.0929    338.47  5           336.67   -999.99     58.17
  1980   2  10  1980.1120    338.19  6           336.49   -999.99     57.69
  1980   2  17  1980.1311    338.35  7           336.76   -999.99     57.65
  1980   2  24  1980.1503    338.91  7           336.86   -999.99     57.99
  1980   3   2  1980.1667    339.43  3           337.72   -999.99     58.30
  1980   3   9  1980.1858    339.83  6           338.12   -999.99     58.44
  1980   3  16  1980.2049    339.66  5           338.09   -999.99     57.99
  1980   3  23  1980.2240    340.84  6           339.04   -999.99     58.89
  1980   3  30  1980.2432    340.63  5           338.17   -999.99     58.41
  1980   4   6  1980.2623    340.81  5           338.97   -999.99     58.34
  1980   4  13  1980.2814    340.98  6           338.62   -999.99     58.28
  1980   4  20  1980.3005    341.14  7           339.32   -999.99     58.25
  1980   4  27  1980.3197    341.35  6           339.65   -999.99     58.33
  1980   5   4  1980.3388    341.39  4           338.69   -999.99     58.29
  1980   5  11  1980.3579    341.71  6           339.08   -999.99     58.59
  1980   5  18  1980.3770    341.34  5           339.45   -999.99     58.25
  1980   5  25  1980.3962    341.32  6           339.42   -999.99     58.32
  1980   6   1  1980.4153    341.64  5           339.81   -999.99     58.79
  1980   6   8  1980.4344    341.62  5           339.06   -999.99     58.98
  1980   6  15  1980.4536    341.50  6           339.11   -999.99     59.11
  1980   6  22  1980.4727    340.76  4           338.91   -999.99     58.67
  1980   6  29  1980.4918    340.49  5           338.26   -999.99     58.75
  1980   7   6  1980.5109    339.95  5           337.78   -999.99     58.62
  1980   7  13  1980.5301    339.30  6           337.95   -999.99     58.42
  1980   7  20  1980.5492    338.77  6           336.80   -999.99     58.38
  1980   7  27  1980.5683    338.81  6           336.88   -999.99     58.93
  1980   8   3  1980.5874    336.78  3           336.40   -999.99     57.45
  1980   8  10  1980.6066    337.99  4           336.21   -999.99     59.19
  1980   8  17  1980.6257    338.36  3           335.00   -999.99     60.09
  1980   8  24  1980.6448    337.20  4           334.70   -999.99     59.42
  1980   8  31  1980.6639    336.90  3           334.20   -999.99     59.55
  1980   9   7  1980.6831    335.96  4           334.85   -999.99     58.96
  1980   9  14  1980.7022    336.43  5           333.61   -999.99     59.69
  1980   9  21  1980.7213    335.71  2           333.34   -999.99     59.12
  1980   9  28  1980.7404    335.77  3           334.13   -999.99     59.25
  1980  10   5  1980.7596    335.72  7           334.56   -999.99     59.15
  1980  10  12  1980.7787    336.11  7           334.11   -999.99     59.42
  1980  10  19  1980.7978    336.51  6           334.30   -999.99     59.62
  1980  10  26  1980.8169    336.69  5           334.46   -999.99     59.55
  1980  11   2  1980.8361    336.90  7           334.73   -999.99     59.48
  1980  11   9  1980.8552    337.49  5           335.24   -999.99     59.76
  1980  11  16  1980.8743    337.22  7           335.67   -999.99     59.19
  1980  11  23  1980.8934    337.65  7           335.97   -999.99     59.34
  1980  11  30  1980.9126    337.80  4           336.39   -999.99     59.21
  1980  12   7  1980.9317    338.09  3           336.63   -999.99     59.26
  1980  12  14  1980.9508    338.52  7           336.95   -999.99     59.46
  1980  12  21  1980.9699    338.39  6           337.27   -999.99     59.13
  1980  12  28  1980.9891    338.61  7           337.44   -999.99     59.17
  1981   1   4  1981.0082    339.12  6           337.43   -999.99     59.44
  1981   1  11  1981.0274    339.25  7           337.51   -999.99     59.40
  1981   1  18  1981.0466    339.55  7           338.71   -999.99     59.54
  1981   1  25  1981.0658    339.67  5           337.94   -999.99     59.50
  1981   2   1  1981.0849    339.89  7           338.37   -999.99     59.56
  1981   2   8  1981.1041    340.70  6           338.07   -999.99     60.20
  1981   2  15  1981.1233    340.18  5           338.46   -999.99     59.50
  1981   2  22  1981.1425    341.34  7           338.59   -999.99     60.48
  1981   3   1  1981.1616    341.23  6           339.84   -999.99     60.15
  1981   3   8  1981.1808    340.97  5           339.65   -999.99     59.65
  1981   3  15  1981.2000    341.61  6           339.74   -999.99     60.04
  1981   3  22  1981.2192    342.49  5           340.75   -999.99     60.64
  1981   3  29  1981.2384    342.29  7           340.75   -999.99     60.17
  1981   4   5  1981.2575    342.62  5           340.71   -999.99     60.24
  1981   4  12  1981.2767    342.96  7           341.06   -999.99     60.34
  1981   4  19  1981.2959    342.54  7           341.07   -999.99     59.71
  1981   4  26  1981.3151    342.68  5           341.29   -999.99     59.69
  1981   5   3  1981.3342    343.07  6           341.69   -999.99     59.99
  1981   5  10  1981.3534    343.05  7           341.40   -999.99     59.93
  1981   5  17  1981.3726    342.95  7           341.71   -999.99     59.86
  1981   5  24  1981.3918    343.00  7           341.13   -999.99     59.98
  1981   5  31  1981.4110    342.87  5           341.65   -999.99     60.00
