所在縣市,醫院名稱,編號,醫院評鑑評鑑結果,教學醫院評鑑結果,醫院評鑑合格效期,教學醫院合格效期,醫院電話,地址
臺北市,基督復臨安息日會醫療財團法人臺安醫院,13,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,02-27718151,臺北市松山區八德路二段424_426號
臺北市,國泰醫療財團法人國泰綜合醫院,14,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-27082121,臺北市大安區仁愛路四段266巷6號_280號
臺北市,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,15,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-25433535,臺北市中山區中山北路二段92號
臺北市,新光醫療財團法人新光吳火獅紀念醫院,16,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-28332211,臺北市士林區文昌路95號及士商路51號_51號2樓_51號3樓_51號4樓_51號5樓_51號6樓_51號7樓_53號_55號_57號
臺北市,振興醫療財團法人振興醫院,17,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,106/1/1-112/12/31,02-28264400,臺北市北投區振興街45號
臺北市,醫療財團法人辜公亮基金會和信治癌中心醫院,18,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,107/1/1-113/12/31,02-28970011,臺北市北投區立德路125號
臺北市,臺北醫學大學附設醫院,19,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,02-27372181,臺北市信義區吳興街252號_250號
臺北市,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,20,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-29307930,臺北市文山區興隆路三段111號
臺北市,博仁綜合醫院,21,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,106/1/1-112/12/31,02-25786677,臺北市松山區光復北路66-68號
新北市,新北市立聯合醫院及其板橋院區,1,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,109/1/1-115/12/31,02-29829111,新北市三重區新北大道1段3號_3之1號
新北市,衛生福利部樂生療養院,2,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,02-82006600,新北市新莊區中正路794號_桃園市龜山區萬壽路一段50巷2號
新北市,衛生福利部臺北醫院,3,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,106/1/1-112/12/31,02-22765566,新北市新莊區思源路127號_長春街6號2樓_3樓
新北市,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,4,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-89667000,新北市板橋區南雅南路二段21號_高爾富路300號
新北市,佛教慈濟醫療財團法人台北慈濟醫院,5,醫院評鑑優等（區域醫院－準醫學中心）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,02-66289779,新北市新店區建國路277號地上1_3_4樓及289號地下1至3樓至地上1至15樓
新北市,行天宮醫療志業醫療財團法人恩主公醫院,6,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,02-26723456,新北市三峽區復興路399號_中山路198_258號
新北市,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,7,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-28094661,新北市淡水區民生路四十五號_民權路47號B1至11樓
新北市,國泰醫療財團法人汐止國泰綜合醫院,8,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,02-26482121,新北市汐止區建成路59巷2號地下4樓至地上12樓
新北市,新北市立土城醫院（委託長庚醫療財團法人興建經營）,9,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,111/1/1-114/12/31,111/1/1-114/12/31,02-22630588,新北市土城區金城路2段6號
新北市,天主教耕莘醫療財團法人永和耕莘醫院,10,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,107/1/1-113/12/31,02-29286060,新北市永和區中興街80號地下1樓至地上7樓_國光路123號地下3樓至地上11樓
新北市,天主教耕莘醫療財團法人耕莘醫院安康院區,11,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,108/1/1-114/12/31,107/1/1-113/12/31,02-22123066,新北市新店區車子路15號
新北市,天主教耕莘醫療財團法人耕莘醫院,11,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,107/1/1-113/12/31,02-22193391,新北市新店區中正路362號
新北市,衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,12,醫院評鑑優等（區域醫院－準醫學中心）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,02-22490088,新北市中和區中正路291號醫療大樓地下2層至地上12層
新北市,輔仁大學學校財團法人輔仁大學附設醫院,13,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,02-85128888,新北市泰山區貴子路69號(地下4層_地上1至11層及13層_15層)
桃園市,衛生福利部桃園醫院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,03-3699721,桃園市桃園區中山路1492號
桃園市,國軍桃園總醫院附設民眾診療服務處,2,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,03-479-9595,桃園市龍潭區中興路168號
桃園市,臺北榮民總醫院桃園分院,3,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,03-3384889,桃園市桃園區成功路三段100號
桃園市,天成醫療社團法人天晟醫院,4,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,03-4629292,桃園市中壢區延平路155號
桃園市,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,5,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,109/1/1-115/12/31,03-3613141,桃園市桃園區建新街123號
桃園市,長庚醫療財團法人林口長庚紀念醫院,6,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,03-3281200,桃園市龜山區復興街5號_5之7號_文化一路15號
桃園市,長庚醫療財團法人桃園長庚紀念醫院及其長青院區,7,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,03-3196200,桃園市龜山區舊路里頂湖路123_123-1號
桃園市,敏盛綜合醫院及其三民院區,8,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,03-3179599,桃園市桃園區經國路168號_三民路三段106號
桃園市,天成醫院,9,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,03-4782350,桃園市楊梅區中山北路一段356號
桃園市,怡仁綜合醫院,10,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,03-4855566,桃園市楊梅區楊新北路321巷30號
桃園市,聯新國際醫院,11,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,03-4941234,桃園市平鎮區廣泰路77號_桃園市平鎮區延平路二段430巷115號
新竹市,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,03-5326151,新竹市北區金華里經國路一段442巷25號
新竹市,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,2,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,03-6119595,新竹市東區光復里光復路二段690號
新竹市,國泰醫療財團法人新竹國泰綜合醫院,3,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,03-5278999,新竹市東區福德里中華路二段678號及678號-1
新竹縣,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院及其竹東院區,1,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,110/1/1-113/12/31,110/1/1-113/12/31,03-6677600,新竹縣竹北市生醫路一段2號_新竹縣竹東鎮至善路52號
新竹縣,臺北榮民總醫院新竹分院,2,醫院評鑑優等（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,106/1/1-112/12/31,109/1/1-115/12/31,03-5962134,新竹縣竹東鎮中豐路一段81號
新竹縣,東元醫療社團法人東元綜合醫院,3,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,109/1/1-115/12/31,03-5527000,新竹縣竹北市縣政二路69號
新竹縣,天主教仁慈醫療財團法人仁慈醫院,4,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,108/1/1-114/12/31,107/1/1-113/12/31,03-5993500,新竹縣湖口鄉忠孝路29號
新竹縣,中國醫藥大學新竹附設醫院,5,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,03-5580558,新竹縣竹北市興隆路一段199號
苗栗縣,衛生福利部苗栗醫院,1,醫院評鑑合格（區域醫院）,醫事人員類（非醫師）教學醫院評鑑合格,109/1/1-115/12/31,108/1/1-114/12/31,037-261920,苗栗縣苗栗市為公路747號
苗栗縣,李綜合醫療社團法人苑裡李綜合醫院,2,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,037-862387,苗栗縣苑裡鎮和平路168號_苗栗縣苑裡鎮中華路137號
苗栗縣,為恭醫療財團法人為恭紀念醫院及其東興院區,3,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,037-676811,苗栗縣苗栗縣頭份市信義路128號
苗栗縣,大千綜合醫院,4,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,106/1/1-112/12/31,037-357125,苗栗縣苗栗市大同路133號1至6樓_大同路133號1至4樓_信義路23號地下層（一）及1至7樓_恭敬路36號地下第3層及1至9樓_信義街36號1至8樓
臺中市,衛生福利部臺中醫院,1,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,109/1/1-115/12/31,04-22294411,臺中市西區廣民里三民路1段199號
臺中市,衛生福利部豐原醫院,2,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,109/1/1-115/12/31,04-25271180,臺中市豐原區安康路100號
臺中市,國軍臺中總醫院附設民眾診療服務處,3,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,04-23934191,臺中市太平區中山路二段348號
臺中市,臺中榮民總醫院,4,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-113/12/31,107/1/1-113/12/31,04-23592525,臺中市西屯區臺灣大道四段1650號
臺中市,林新醫療社團法人烏日林新醫院,5,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,04-23388766,臺中市烏日區榮和路168號
臺中市,林新醫療社團法人林新醫院,6,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,04-22586688,臺中市南屯區惠中路三段36號
臺中市,李綜合醫療社團法人大甲李綜合醫院,7,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,107/1/1-113/12/31,04-26862288,臺中市大甲區八德街2號
臺中市,光田醫療社團法人光田綜合醫院及其大甲院區,8,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,107/1/1-113/12/31,04-26625111,臺中市沙鹿區沙田路117號（含大同街5-2號）
臺中市,童綜合醫療社團法人童綜合醫院及其沙鹿院區,9,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,04-26581919,臺中市梧棲區臺灣大道八段699號
臺中市,佛教慈濟醫療財團法人台中慈濟醫院,10,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,04-36060666,臺中市潭子區豐興路一段66號_88號
臺中市,仁愛醫療財團法人大里仁愛醫院,11,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,107/1/1-113/12/31,04-24819900,臺中市大里區東榮路483號
臺中市,亞洲大學附屬醫院,12,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,107/1/1-113/12/31,04-37061668,臺中市霧峰區福新路222號
臺中市,中山醫學大學附設醫院,13,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-113/12/31,107/1/1-113/12/31,04-24739595,臺中市南區建國北路一段110號
臺中市,中國醫藥大學附設醫院,14,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-113/12/31,107/1/1-113/12/31,04-22052121,臺中市北區育德路2號
臺中市,澄清綜合醫院,15,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,106/1/1-112/12/31,04-24632000,臺中市中區平等街139號
臺中市,澄清綜合醫院中港分院,16,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,04-24632000,臺中市西屯區臺灣大道4段966號
彰化縣,衛生福利部彰化醫院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,04-8298686,彰化縣埔心鄉中正路二段80號
彰化縣,秀傳醫療社團法人秀傳紀念醫院,2,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,04-7256166,彰化縣彰化市南瑤里中山路一段542號
彰化縣,彰化基督教醫療財團法人彰化基督教醫院及其中華路院區,3,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-113/12/31,107/1/1-113/12/31,04-7238595,彰化縣彰化市南校街135號_中華路176號_旭光路235_320號
彰化縣,秀傳醫療財團法人彰濱秀傳紀念醫院,4,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,107/1/1-113/12/31,04-7813888,彰化縣鹿港鎮鹿工路6號_6-2號
彰化縣,彰化基督教醫療財團法人二林基督教醫院,5,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,04-8952031,彰化縣二林鎮南光里大成路一段558號_安和街40巷28號2樓
南投縣,衛生福利部南投醫院,1,醫院評鑑合格（區域醫院）,醫事人員類（非醫師）教學醫院評鑑合格,109/1/1-115/12/31,106/1/1-112/12/31,049-2231150,南投縣南投市復興路478號
南投縣,臺中榮民總醫院埔里分院,2,醫院評鑑優等（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,106/1/1-112/12/31,108/1/1-114/12/31,049-2990833,南投縣埔里鎮蜈蚣里榮光路1號
南投縣,埔基醫療財團法人埔里基督教醫院,3,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,049-2912151,南投縣埔里鎮鐵山路1號
雲林縣,國立臺灣大學醫學院附設醫院雲林分院及其虎尾院區,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,05-5323911,雲林縣斗六市雲林路二段579號
雲林縣,國立成功大學醫學院附設醫院斗六分院,2,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,109/1/1-115/12/31,05-533-2121,雲林縣斗六市莊敬路345號
雲林縣,天主教若瑟醫療財團法人若瑟醫院,3,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,05-6337333,雲林縣虎尾鎮新生路74號
雲林縣,彰化基督教醫療財團法人雲林基督教醫院,4,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,108/1/1-114/12/31,107/1/1-113/12/31,05-5871111,雲林縣西螺鎮新豐里市場南路371_375號
雲林縣,中國醫藥大學北港附設醫院,5,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,107/1/1-113/12/31,05-7837901,雲林縣北港鎮新德路123號
嘉義市,衛生福利部嘉義醫院,1,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,108/1/1-114/12/31,107/1/1-113/12/31,05-2319090,嘉義市西區北港路312號
嘉義市,臺中榮民總醫院嘉義分院,2,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,106/1/1-112/12/31,05-2359630,嘉義市西區劉厝里世賢路二段600號
嘉義市,戴德森醫療財團法人嘉義基督教醫院,3,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,05-2765041,嘉義市東區中庄里忠孝路539號_642號_東區後湖里保建街100號
嘉義市,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院及其民權院區,4,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,106/1/1-112/12/31,05-2756000,嘉義市東區短竹里大雅路二段565號
嘉義縣,長庚醫療財團法人嘉義長庚紀念醫院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,106/1/1-112/12/31,05-3621000,嘉義縣朴子市仁和里長庚一路6號及嘉朴路西段8號
嘉義縣,佛教慈濟醫療財團法人大林慈濟醫院,2,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,05-2648000,嘉義縣大林鎮平林里民生路2號
臺南市,衛生福利部臺南醫院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,107/1/1-113/12/31,06-2200055,臺南市中區中山路125號
臺南市,衛生福利部胸腔病院,2,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,107/1/1-113/12/31,06-2705911,臺南市仁德區中山路864號
臺南市,國立成功大學醫學院附設醫院,3,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-113/12/31,107/1/1-113/12/31,06-2353535,臺南市北區勝利路138號
臺南市,高雄榮民總醫院臺南分院,4,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,06-3125101,臺南市永康區復興路427號
臺南市,台南市立醫院(委託秀傳醫療社團法人經營),5,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,106/1/1-112/12/31,06-2609926,臺南市東區崇德路670號
臺南市,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,6,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,06-5702228,臺南市麻豆區小埤里苓子林20號
臺南市,奇美醫療財團法人佳里奇美醫院,7,醫院評鑑優等（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,06-7263333,臺南市佳里區佳興里佳里興606號
臺南市,台灣基督長老教會新樓醫療財團法人台南新樓醫院,8,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,06-2748316,臺南市東區東門路一段57號
臺南市,奇美醫療財團法人柳營奇美醫院,9,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,06-6226999,臺南市柳營區太康里201號
臺南市,奇美醫療財團法人奇美醫院,10,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-113/12/31,107/1/1-113/12/31,06-2812811,臺南市永康區中華路901號
臺南市,臺南市立安南醫院-委託中國醫藥大學興建經營,11,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,108/1/1-114/12/31,06-3553111,臺南市安南區長和路二段66號
臺南市,郭綜合醫院,12,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,06-2221111,臺南市中西區民生路2段6_8_10_12_14_18_20_22_23_24_25_27_44號及40_42號1_2樓
高雄市,高雄市立聯合醫院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,07-5552565,高雄市鼓山區中華一路976號
高雄市,高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),2,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,107/1/1-113/12/31,07-2911101,高雄市前金區中華三路68號
高雄市,高雄市立民生醫院,3,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,07-7511131,高雄市苓雅區凱旋二路134號及132號5樓
高雄市,衛生福利部旗山醫院,4,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,07-6613811,高雄市旗山區中學路60號
高雄市,國軍高雄總醫院左營分院附設民眾診療服務處,5,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,107/1/1-113/12/31,07-5817121,高雄市左營區軍校路553號
高雄市,國軍高雄總醫院附設民眾診療服務處,6,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,07-7496751,高雄市苓雅區建軍路5號
高雄市,高雄榮民總醫院,7,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-113/12/31,107/1/1-113/12/31,07-3422121,高雄市左營區大中一路386號
高雄市,阮綜合醫療社團法人阮綜合醫院,8,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,106/1/1-112/12/31,07-3351121,高雄市苓雅區成功一路156號1至3樓及162號B1至10樓_四維四路136號B4至12樓_166號B2至13樓_永昌街49號1至6樓
高雄市,高雄市立岡山醫院（委託秀傳醫療社團法人經營）,9,醫院評鑑優等（地區醫院）,非教學醫院,106/1/1-112/12/31,-,07-6222131,高雄市岡山區壽天路12號?
